paper_number,forum_id,spotlight,best_paper,title,abstract,authors,Decision
1,KmO1G38q18,FALSE,FALSE,"Where Reasoning Does Not Matter: Isolating Chain-of-Thought in a Modular, Agentic VLM Manipulation Pipeline","End-to-end Vision–Language–Action (VLA) models
 fold two very different capabilities into one set of weights: seman-
 tic reasoning (which object, in what order, gripped how, placed
 where) and physical control (closed-loop tracking under contact).
 When such a model fails, no single component can be blamed
 or repaired. We instead keep a frozen multimodal VLM as an
 explicit, external reasoner that drives a modular pipeline whose
 perception, grasping, and planning stages are off-the-shelf. This
 pipeline, Reason–Predict–Plan (RPP), runs a per-step agentic
 tool loop, validates each candidate 6-DOF grasp by overlay
 inspection across a wrist and a fixed front camera, grounds
 6-DOF placement poses in depth, and routes Accept (Poster)ed poses
 to a GPU motion planner with voxel-based collision avoidance.
 Because the VLM is the only reasoning component, its chain-
 of-thought becomes a single controllable variable: we vary the
 model’s native reasoning budget (full vs. minimal) while holding
 every other stage fixed. We run the sweep on four Isaac Lab
 manipulation tasks at n=30 per task per condition, scoring every
 episode by ground truth. Reasoning matters in one place. On
 the task with a genuine scene-understanding decision—placing
 into a partially observed shelf—chain-of-thought is decisive (57%
 vs. 0% success); on the three tasks whose action sequence is
 forced once the target is named, it has no measurable effect. A
 vivid “reasoning hurts” result at a pilot n=10 dissolved under
 ground-truth scoring at n=30, which is why we report both.
 Where manipulation requires understanding the scene before
 acting, semantic reasoning is load-bearing; once the task reduces
 to execution the same deliberation is inert, and a modular design
 is what lets us measure which regime holds.","Basu Hela, Ravi Prakash",Accept
2,dz5GIy1tN9,FALSE,FALSE,DAM-VLA: Decoupled Asynchronous Multimodal Vision Language Action model,"Vision-language-action (VLA) models inherit a shared synchronous clock from vision-language pretraining, processing every input at one rate. This is misaligned with physical interaction, where a high-frequency modality changes at hundreds of hertz, vision evolves more slowly, and language stays constant across an episode. A synchronous VLA oversamples slow modalities, undersamples fast ones, and caps action generation at the lowest effective frequency. We hypothesize that decoupling temporal processing per modality, letting each update and retain information at its own sensor rate, yields stronger representations and more robust control. We present \gls{davla}, which maintains per-modality latent buffers refreshed at sensor rates and read continuously by the action head, integrating new high-frequency modalities through gated cross-attention that leaves the pretrained backbone intact. Across seven contact-rich real-world manipulation tasks, \gls{davla} more than doubles the average success rate of the strongest synchronous baseline (95.2\% vs.\ 40.95\%) while sustaining smooth, reactive 100\,Hz control.","Pankhuri Vanjani, Zhuoyue Li, Jakub Suliga, Moritz Reuss, Gianluca Geraci, Xinkai Jiang, Rudolf Lioutikov",Accept
3,HlaQHy7hWX,FALSE,FALSE,Auditing Demonstration Curation Metrics: Action-Only Scorers Fail on the Structural Defects That Degrade Imitation Policies,"Imitation-learning policies inherit the quality of the demonstrations they are trained on, and a growing set of curation metrics promise to score and filter low-quality demonstrations automatically. These metrics are each validated on different data with different protocols, so it is unclear which of them actually identify the demonstrations that harm a policy. We build a controlled testbed in which demonstration defects are injected with known type, and audit seven curation metrics along two axes: how well each separates defective from clean demonstrations, and whether training a behavior-cloning policy on each metric's curated subset improves task success. We study two defect regimes that differ in their semantic structure. Subtle perturbations (correlated action noise, tremor, truncation) are statistical wobble layered on otherwise correct behavior; they are detectable by multivariate outlier scoring and, once removed, recover the full downstream gap. Structural errors, where the demonstration executes a wrong action at a semantically decisive moment, are invisible to every action-only metric we test, and two of them are inverted: they score defective demonstrations as higher quality and, used for curation, tend to leave the policy at or below the uncurated baseline rather than above it. Only metrics that examine the state trajectory, and so encode something about what the demonstration was trying to do, detect structural errors, and even the best of them recovers just a third of the downstream gap. High detection accuracy does not guarantee downstream improvement. We release the testbed and all curation implementations.",Aarav Bedi,Accept
4,KuvTzv4UTM,FALSE,FALSE,Robot Skill Puzzles: Decentralized Skill Priors for Humanoid–Environment Interaction,"Behavior foundation models are becoming a practical substrate for generalist robot control, yet they still face a misaligned scaling target: a single resident policy is expected to internalize the geometry, articulation, force limits, affordance frames, and safe modes of use for a growing long tail of objects. We propose Robot Skill Puzzles (RSPs), a decentralized alternative in which an object exposes a signed, typed action artifact containing articulated assets, reference kinematics, advisory constraints, and optionally a compact object-specific controller. The robot verifies this artifact, maps its task-space interface to its own morphology, and executes it only through a robot-owned safety envelope. This keeps actuator authority on the robot while moving object-local interaction priors to the source best positioned to specify and maintain them. We formalize RSPs as object-resident contracts, state validity and safety conditions, and give a capacity argument separating resident controller footprint from object-catalog size. In a synthetic scaling study over 1000 action skills, a fixed-capacity centralized controller reaches 0.54 normalized error at matched resident footprint, whereas a decentralized backbone-plus-action-head scheme remains near 0.14. In a physics-based InterMimic study, warm-starting object controllers from a shared prior improves whole-body tracking on five held-out objects under the same short fine-tuning budget. We adapt the framework to behavior foundation models by treating RSPs as verified object-local priors for planning, semantic grounding, whole-body execution, and long-horizon recovery.","Zhiyang Dou, Jintao Lu, Boyang Yu, Zeyu Cao, Cheng Lin, Yuan Liu, Taku Komura",Accept
7,fWN2jSqJkW,FALSE,FALSE,Focus on the Moment: Real-Time Semantic Failure Detection in Vision-Language-Action Models,"Vision-language-action (VLA) policies are prone to semantic failures, wherein the motion remains plausible while the policy manipulates on the wrong target. Such failures are recoverable if they are detected during execution. However, existing detectors require complete trajectories and provide only post hoc assessments, determining whether a failure occurred but not when, which is too late for recovery. To focus on the moment, we propose FailMoment, which detects failure at each frame by utilizing only the recent past. This enables trajectory-level, frame-level, and real-time predictions within a single model under an inference latency budget. As training FailMoment requires labels in frame-level, we introduce SemGen, a pipeline that converts successful demonstrations into semantic failures and pinpoints the failure frame from the gripper signal, producing 645,029 labeled frames from 3,148 trajectories across 80 RLBench and LIBERO tasks. FailMoment remains comparable with dedicated whole-trajectory detectors. Specifically, on wrong-position failures in the seen-task split, it achieves a trajectory-level AUROC of 0.945, compared with 0.865 for the strongest baseline. It substantially outperforms baselines in frame-level detection, reaching 0.993 AUROC, while the best baseline reaches only 0.559, and fires on time in 71% of failures, whereas no baseline reaches 8%. Furthermore, we verify that our method is transferable to the real world with the RT-1 dataset.","Seul Kim, HEE BIN YOO, Byoung-Tak Zhang",Accept
8,Y6jslFtt7d,TRUE,FALSE,Disentangling Spurious Correlations in Vision-Language-Action Models via Predicting Domain-Invariant Latent Lookahead,"Vision-Language-Action (VLA) models remain brittle under visual distribution shifts, often relying on spurious correlations tied to domain-specific factors rather than task-relevant structure. We propose \emph{Domain-Invariant Latent Lookahead} (DILL), a representation-learning framework that mitigates shortcut learning in VLA policies. Our key idea is to supervise policies with domain-invariant future latents learned from domain-transformed trajectory data. A Task-Domain Encoder is trained with contrastive objectives and Gaussian disentanglement regularization to separate task-relevant structure from domain-specific visual variation. The learned encoder then provides future latents for VLA policy learning through lookahead prediction and domain disentanglement, encouraging the policy to focus on task-relevant structure rather than incidental visual factors. 
 Under counterfactual task--view compositions, DILL reduces shortcut degree while improving OOD success. On LIBERO-Plus visual perturbations, DILL achieves the highest average success rate of 69.1\%, outperforming the strongest matched-input baseline by 11.4 absolute points, while limiting the average performance drop to 12.5 points.
 Latent-space diagnostics further show that DILL better preserves task-consistent structure while suppressing domain-specific variation.","Junghyun Kim, Ngseo Kim, Chungwoo Lee, Seoyeon Lee, Woo-Jeong Baek, Adam Zhou, Chip Huyen, Jun Ki Lee, Gi-Cheon Kang, Byoung-Tak Zhang",Accept
9,sB3gmcWtmt,FALSE,FALSE,Offline Policy Evaluation for Manipulation Policies via Discounted Liveness Formulation,"Policy evaluation is a fundamental component of the development and deployment pipeline for robotic policies. In modern manipulation systems, this problem is particularly challenging: rewards are often sparse, task progression of evaluation rollouts are often non-monotonic as the policies exhibit recovery behaviors, and evaluation rollouts are necessarily of finite length. This finite length introduces truncation bias, breaking the infinite-horizon assumptions underlying standard methods relying on Bellman equations/principle of optimality. In this work, we propose a framework for offline policy evaluation from sparse rewards based on a liveness-based Bellman operator. Our formulation interprets policy evaluation as a task-completion problem and yields a conservative fixed-point value function that is robust to finite-horizon truncation. We analyze the theoretical properties of the proposed operator, including contraction guarantees, and show how it encodes task progression while mitigating truncation bias. We evaluate our method on two simulated manipulation tasks using both a Vision–Language–Action model and a diffusion policy. Empirical results demonstrate that our approach more accurately reflects task progress and substantially reduces truncation bias, outperforming classical baselines such as TD(0) and Monte Carlo policy evaluation.","Hao Wang, Joshua Bowden, Colton Crosby, Somil Bansal",Accept
10,65L5BuXXFU,FALSE,FALSE,DIRECT: When and Where Should You Allocate Test-Time Compute in Embodied Planners?,"Vision-Language Models (VLMs) are increasingly deployed as high-level planners for embodied agents, with an emerging strategy of scaling test-time compute to improve capability. However, we observe that doing so increases latency, token usage, and FLOPs while yielding uneven, often diminishing gains in downstream success, limiting where embodied agents can be deployed. We argue that choosing when and where to spend test-time compute is central to bringing frontier performance to the real world. We introduce DIRECT, a routing framework that uses multimodal scene context to allocate compute per prompt, improving the success--cost Pareto frontier over fixed model selection. Across three dominant scaling axes, namely chain-of-thought depth, model size, and memory history, our experiments on VLABench and RoboMME show that test-time compute is not a uniform lever: different axes yield qualitatively distinct capability gains. We validate these insights on a physical Franka arm in a DROID setup spanning zero-shot manipulation and long-horizon chaining, where our router matches or exceeds a stronger model's success rate at up to 65% lower average latency. Ultimately, our results show that naively scaling test-time compute is wasteful, and that DIRECT can provide frontier-level embodied planning in robotic systems at a fraction of the cost. Project page can be found at https://anonymous.4open.science/w/direct-rss/ .","Jadelynn Dao, Milan Ganai, Yasmina Abukhadra, Ajay Sridhar, Mozhgan Nasr Azadani, Katie Z Luo, Clark Barrett, Jiajun Wu, Chelsea Finn, Marco Pavone",Accept
11,lZLHs6P90d,TRUE,TRUE,Improving Robotic Generalist Policies via Flow Reversal Steering,"Generalist policies can learn a wide range of skills from diverse robot datasets. In order to solve or improve on challenging new tasks, we need a way to infer and invoke the appropriate actions from the policy's rich behavioral prior, especially when directly commanding the policy fails. We focus on flow matching generalists and propose Flow Reversal Steering (FRS): a method that takes suboptimal but ""reasonable"" actions, finds their latent noises by passing them through the flow policy in reverse, and maps them to nearby generalist action modes. We evaluate FRS across many simulated and real-world manipulation settings. First, FRS can turn coarse semantic guidance from humans or vision-language models (VLMs) into corresponding good robot actions, improving zero-shot control. These gains can be distilled with behavioral cloning by training an auxiliary policy to output noises that the generalist maps to good actions -- showing up to 95% absolute task success rate boosts in under a minute of training. Finally, FRS enables policy improvement by bootstrapping reinforcement learning with semantic knowledge, improving on several tasks that standard RL fails to improve on.","Andy Tang, William Chen, Andrew Wagenmaker, Chelsea Finn, Sergey Levine",Accept
12,0bVYVBxkiB,FALSE,FALSE,PRTS: A Primitive Reasoning and Tasking System via Contrastive Representations,"Vision-Language-Action (VLA) models advance robotic control via strong visual-linguistic priors. However, existing VLAs predominantly frame pretraining as supervised behavior cloning, overlooking the fundamental nature of robot learning as a goal-reaching process that requires understanding temporal task progress. We present \textbf{PRTS} (\textbf{P}rimitive \textbf{R}easoning and \textbf{T}asking \textbf{S}ystem), a VLA foundation model that reformulates pretraining through Goal-Conditioned Reinforcement Learning. By treating language instructions as goals and employing contrastive reinforcement learning, PRTS learns a unified embedding space where the inner product of state-action and goal embeddings approximates the log-discounted goal occupancy, the probability of reaching the language-specified goal from the current state-action, quantitatively assessing physical feasibility beyond static semantic matching. PRTS draws this dense goal-reachability supervision directly from offline trajectories without reward annotations, and folds it into the VLM backbone via a role-aware causal mask, incurring negligible overhead over vanilla behavior cloning. This paradigm endows the high-level reasoning system with intrinsic goal reachability awareness, bridging semantic reasoning and temporal task progress, and further benefits goal-conditioned action prediction. Pretrained on 167B tokens of diverse manipulation and embodied-reasoning data, PRTS reaches state-of-the-art performance on LIBERO, LIBERO-Pro, LIBERO-Plus, SimplerEnv, and a real-world suite of 14 complex tasks, with particularly substantial gains on long-horizon, contact-rich, and zero-shot novel-instruction settings, confirming that injecting goal-reachability awareness significantly improves both execution success and long-horizon planning of general-purpose robotic foundation policies.","Yang Zhang, Jiangyuan Zhao, Chenyou Fan, Fangzheng YAN, Tian Li, Haitong Tang, Xuaner Wu, Qizhen Weng, Weinan Zhang, Xiu Li, Chi Zhang, Chenjia Bai, Xuelong Li",Accept
